numcode,risk_assessment
53004,"The Oromo in Ethiopia exhibit four factors thought to encourage future rebellion: persistent protest and current rebellion; territorial concentration; generally high levels of group organization; and recurring government repression. Until a truly open political system is allowed in Ethiopia, the future condition of the Oromo remains questionable. With the continued insurgency in the south, even Oromo unaffiliated with militant and violent organizations are still targeted and subject to governmental abuse and detention. Further complicating a viable projection of Oromo participation in Ethiopian politics are the disparate claims that various Oromian groups hold, ranging from full political independence to greater regional autonomy to greater participation at the central state level. When and if rebellious activities conclude will likely indicate whether the Oromo can carve out a political niche adequate to their many distinct members. The fact that the Ethiopian regime has completed preparations to annul the official use of Oromo language in over 375 cities and towns of Oromia is one of the many indicators of the level of repression the Oromo people face."
37202,"The situation of the Adzharians exhibit only some of the factors that suggest a risk of violent conflict, such as their high group concentration, and the willingness of Georgia's central government under Saakashvili to use brinkmanship for its domestic policy agenda.  However, since a near violent conflagration in 2004, when Adzharia's long-term leader, Aslan Abashidze, was removed from power, the prospects for peace appear much more enduring.  Abashidze exhibited a highly independent and authoritarian leadership style with military capabilities and a foreign (Russia) supporter that maintained a military base near the capital, Batumi.  Since his departure, a new regional parliament has been elected; military groups have been brought under central state control; and Russia has agreed to close its military base.  Further, no demonstrations or violent activity has been exhibited since the end of 2004. Georgia's central government was elected, in part, on a commitment to reunite the country.   While Adzharia appears to have overcome its most significant hurdle in that process, it is unclear how events in the other two separatist regions could affect relations between Adzhars and Tbilisi in the future.  Nevertheless, Adzharia has defied repeated predictions of violence in the past, and this bodes well for the Adzhars."
37203,"The Ossetian conflict in Georgia exhibits many factors that increase the likelihood of violent conflict in the future: the group has experienced both repression and rebellion in recent past; it is highly organized militarily and politically; there are transnational kin in Russia with whom many Ossetians would like to unite; the group is geographically concentrated in the de facto independent South Ossetian region; and the Georgian government has stated its intention to reunite the country while demonstrating a willingness to engage in violent brinkmanship to achieve that goal, most recently in 2004. Recent negotiations between Tblisi and Tskhinvali, the capital of South Ossetia, have not been fruitful in settling the status of South Ossetia. The Ossetians continue to insist on independence for their state, most recently in a 2006 referendum, although political elites have also called for unification with North Ossetia inside Russia. The Ossetians have a functioning government, with a president and parliament, which were elected over strong Georgian opposition. Tbilisi's policy towards its breakaway republics has been to advocate a unified Georgian state, but with widespread constitutional autonomy, a solution repeatedly rejected by Tskhnavli. While Georgia and South Ossetia have managed to reach agreements on economic reconstruction and the return of some refugees, a political settlement to the conflict has proved elusive. Most of the good-will that had built-up between the two sides of the conflict over the past ten years was seriously damaged with the large-scale fighting that occurred in 2004 between government forces and South Ossetian military units. No major violent incidents occurred in 2005 and 2006, but low-level violence occasionally continued and tensions remain high. However, in 2008, renewed violence, involving land, air and sea warfare, directly involved Russian troops in a five-day conflict with Georgian troops on one side and Russian, Ossetian and Abkhazian troops on the other. While a peace agreement was mediated, tensions remain high on all sides."
75013,"The Mizos in India have three of the factors that increase the chances of future rebellion: territorial concentration; a high level of group support for organizations representing their interests; and a history of lost autonomy. Factors that could inhibit future rebellion include: India's history as a stable democracy; persistent federal government efforts to negotiate settlements with groups seeking autonomy; and the lack of transnational support for the Mizos despite ongoing armed conflicts in neighboring countries like Burma. It appears that Mizo desires for self-determination were largely satisfied with the creation of a separate state of Mizoram in 1986. Mizoram remains one of the few states in India's northeast that has remained relatively free of violence in the past 15 years. The major issue confronting its residents is the relationship between the Mizos and the Reangs (also called Bru) and whether Reang desires for greater autonomy can be incorporated within Mizoram without the occurrence of further violence. The Bru National Liberation Front has been at odds with the offical government of Mizoram since 1996 and has a primary objective as the protection of rights and dignity of Bru (Reangs). It has also demanded a separate Reang homeland in Mizoram. Subsequently, it transformed its stand and aimed to achieve a separate Autonomous District Council (ADC), and reservation in the Mizoram Legislative Assembly for the community. Only recently, it has agreed to tone down its demand for an ADC and settle for a regional council."
75014,The Tripuras exhibit several factors that increase the likelihood of continuing rebellion: current rebellion; territorial concentration; repression by state authorities; a history of lost autonomy; and generally high levels of group organization. Factors that could inhibit rebellion include India's history of democratic government and its tradition of attempting to reach settlements with groups seeking autonomy or independence.
63007,"Kurds have most of the risk factors for rebellion, including: current rebellion; territorial concentration; high levels of group organization; government repression; and a history of lost autonomy. Although several Kurdish organizations have moved away from violence, low-level rebellion is likely to continue in the near future. With the election of President Mahmoud Ahmadinejad in 2005 the situation of Kurdish Iranians went from bad to worse. After broken promises by Mohammad Khatami's more moderate presidency from 1997 to 2005, the Kurdish situation, along with other ethnic minorities, has only worsened. The condition of Kurdish Iranians is more precarious than the Bakhtiari (because of their higher numbers and Sunni Muslim faith) or the Baluchis (because of their advocacy of autonomy and intellectual urban bases)."
70302,"There is a moderate risk of rebellion by ethnic Uzbeks in Kyrgyzstan in the near future. Ethnic Uzbeks exhibit five of the characteristics that increase the risk of violence: persistent protest; territorial concentration; generally high levels of group cohesion and organization; recent regime instability; and social discrimination and government repression. Ethnic Uzbeks demonstrated a willingness to protest and rebel in the early 1990s and, after a lull in the late 1990s, have recently increased their levels of protest. The explicitly non-violent Islamic Hizb ut-Tahrir advocates the establishment of a Caliphate in Central Asia and has exposed ethnic Uzbeks to increased state repression, but it also may undermine the likelihood of violent actions by the minority. Protest by ethnic Uzbeks will likely continue at low to moderate levels in the near future. The Akayev government did little to address Uzbek grievances, which only aggravated tensions. It was southern cities, such as Osh (where Uzbeks are concentrated), that saw the first violent revolt, which ousted the president in 2005. It remains to be seen what policies the new government will pursue, but if Uzbeks are not able to go through formal or electoral channels to express grievances, popular protest can be expected to increase."
34301,"While there has been political violence in the past five years and peaceful protests continue, there is little risk of future rebellion by the Albanians in Macedonia. While 2001 brought ethnic tensions to a climax as a violent insurgency caused more than 170,000 ethnic Albanians and Macedonians to flee their homes, the Ohrid Framework Agreement provided a platform for accommodation of Albanian demands.  Some interethnic tension occasionally erupts, but more prominent during 2004-2006 was intraethnic tension especially among competing Albanian political parties.  The Framework Agreement may mitigate the other risk factors the group has for rebellion such as recent rebellion, recent repression, territorial concentration and group cohesion.  Although, the regime in Macedonia is a transitioning democracy, it has largely escaped the devastating violence that ravaged most of the rest of the former Yugoslavia.  During the period from 2004-2006, the entire region was free of wide-scale violent conflict. The 2001 Macedonia violence was short-lived and ended in the Ohrid Framework Agreement, which allowed for a broad range of minority rights legislation to be enacted.   The risk of protests is higher than the risk of rebellion. While most discrimination against Albanians in Macedonia is informal, Albanians do have grievances.  Other risks include the persistence and recent history of some government repression.  Albanians in Macedonia receive rhetorical support from their kindred in Kosovo and Albania, though there was no evidence of other modes of support from these populations."
60003,"Saharawis enjoy high levels of territorial concentration and group organization and cohesion. As of late, these factors have fostered few instances of rebellion. The violence of May 2005 is the one major exception. However, protest continues to be a large part of daily life. While the ceasefire has held with only minor skirmishes marring it over the past decade, the continued delay of the referendum increases the likelihood that widespread violence will break out again. Factors inhibiting the intensification of the conflict include transnational support for settlement, including international pressure to conduct the referendum and honor its outcome. The Moroccans seem unwilling to allow a referendum unless they can stack the deck in their favor (by including resettled Moroccans on the voter rolls) and the Polisario Front opposes this. Also, the Moroccan government continues to act periodically in bad faith by repressing demonstrations, engaging in mass arrests and probably torture, sending warplanes which occasionally open fire over the Western Sahara, illegally moving people across the borders, strengthening its defenses within the region during ceasefires, moving troops into the region, and intimidating the inhabitants of the Western Sahara. The death of King Hassan II in July 1999 sparked hope for a final settlement of the dispute. Hassan, who led the so-called Green March of Moroccan citizens into Western Sahara, made the Western Sahara issue a foundational issue of his rule and legitimacy. His son, King Mohammed VI, has not done the same. As his legitimacy, both internally and internationally, is likely to rest more on democratization and economic development, continued delay of the referendum may be seen as harmful. However, Mohammed has maintained that Morocco has a legitimate claim to Western Sahara even while pledging that the referendum will take place. In 2001, UN Special Envoy James Baker III proposed an alternative autonomy plan, known as the 'third option. Although Polisario showed willingness to accept the plan, the Moroccan government again refused to accept. Just two years later, the UN proposed a plan whereby Western Sahara would be autonomous for up to five years, after which the referendum would be voted upon. After Bakers resignation in 2004, Kofi Annan named Dutch diplomat Peter van Walsum as his replacement. As of 2006, the negotiations as to how, when, or if the referendum will occur, remain stalemated.  Should the referendum, when held, decide on independence, Moroccos government may not recognize its legitimacy. If this happens, observers can expect an almost immediate return to violent rebellion by the Polisario Front."
77504,"The Karen have four of the five factors that increase the chances of future rebellion: current rebellion; territorial concentration; recent government repression; and a generally high level of group organization. However, given the major counterinsurgency campaign that has been underway in Karen state in recent years, it is not clear if the Karen National Union can still pose a significant threat. It is likely that the KNU will be reduced to low to moderate-level rebellion along the Thai-Burmese border."
47506,"The Ijaw are risk of both rebellion and protest. The group faces significant political and cultural restrictions as well as repression, which are factors encouraging rebellion. They are at risk of rebellion because of history of protest, some violence, territorial concentration and repression. The government has thus far neglected Ijaw concerns; however efforts at negotiation and reform and absorption of the group into Nigeria's democratization process could alleviate these risks.  The government should focus on balancing the demands of the community with the interests of the oil companies operating in the Delta region. Conflicts between the various ethnic groups in the Niger Delta also reflect the problems that each group has with the federal government."
13503,"Peru's Amazonian indigenous communities are among the country's poorest and most politically marginalized. Though the successful 2000 presidential campaign of Alejandro Toledo drew strength from the candidate's indigenous heritage, lowland groups were a relatively weak presence in the campaign. However, with the apparent success in suppressing Peru's violent revolutionary groups, the possibility of random or targeted violence has dramatically declined. For the near-term, lowland groups are likely to continue to face chronic social and cultural injustices that will continue to place them at risk for future protest, but the likelihood of a violent rebellion from lowland organizations is relatively small."
84002,"The Cordilleras have five of the factors that increase the chances of future rebellion: a history of persistent protest; territorial concentration; high levels of group organization; government repression; and the unstable nature of the Philippine government in the past five years. Factors that could inhibit future rebellion include the country's status as a new democracy coupled with the government's efforts to negotiate settlements with insurgent groups. Another significant factor is how future economic development will be pursued in the Cordillera Administrative Region. Addressing tribal concerns about protecting their lands, culture, and livelihoods will be critical to help ensure peace."
36534,"Although the Kumyk have some of the risk factors associated with ethnonational conflict (high levels of group organization and cohesion, territorial concentration, and demands for political autonomy), there has been no record of persistent protest since 1992. While Moscow has shown a willingness to involve itself in Dagestani politics (the multi-ethnic autonomous republic within Russia where the vast majority of Kumyks are located) in attempts to stem the spread of political violence, this has not prevented some ethnic Kumyks becoming involved in violent conflicts with the state in recent years.  Nevertheless, the level of organization for violent ethno-political ends in 2006 remained virtually non-existent among Kumyks. Until the mid-1990s, the Kumyks were the most active and contentious of the Dagestani groups and most frequently involved in intergroup disputes. This may have been because they were among the most privileged in Dagestan and are from a cultural tradition which is distinct from the Caucasian groups there. They also saw other groups as trespassing on Kumyk lands and threatening the survival of Kumyk culture. The lands they have historically occupied are among the most valuable in Dagestan. Since 1995, however, despite a few violent incidents, the media have reported little Kumyk activity. This may be due to a variety of factors. First, it seems that Kumyks have retained their relatively privileged status in Dagestan.  Second, since the Kumyks live along the border with Chechnya, they observed at close range the results of large-scale violence against central authorities. While Kumyks have not been listed in the leadership of the ""Wahhabi"" movement, it is possible that some of the more militant Kumyks have left traditional Kumyk groups to join the Islamist organization. Kumyks have been listed among the ethnic groups joining the Chechen militia."
31701,"The Hungarians in Slovakia exhibit two factors that encourage rebellion: territorial concentration and generally high levels of group organization and cohesion. Continuing to suffer various types of discrimination, tensions between Hungarians and Slovaks have increased over the last few years. Although Slovak Hungarian parties have been part of the ruling democratic coalition since 1998, there have been increasing attempts by Slovak nationalist parties to limit the power of Hungarians in the central government. Nonetheless, official Slovak nationalism has declined as given evidence by the personalistic splits within the Slovak National Party (SNS) itself, leading to its failure to enter the parliament. In the absence of official discrimination, therefore, Hungarians are unlikely to engage in violence against the state. While far from being eliminated, the risk factors for protest have also declined considerably since the 1998 elections. The passage of the language law and the reinstatement of the various protections given Hungarians and other minorities in education have eliminated some of the most pressing issues for the Hungarian community. In addition, the new government has shown a willingness to conform to the norms of the European Union in exchange for inclusion. Despite these positive changes, however, some issues remain unresolved. Discrimination against Hungarians persists. Much of it is based on the entrenched anti-Hungarian feelings shared by many Slovaks who fear the magyarization of the southern region and possible discrimination in the hands of Hungarians should they gain more autonomy.  Specifically, the Hungarians in Slovakia endure a higher unemployment rate and live in a greater degree of poverty compared to the majority Slovaks in other parts of the country. These issues may linger for many years, providing some potential for future conflicts."
52001,"The condition of the Issaq in Somaliland is generally much better than it was before secession. Yet, the Issaq remain at risk from two fronts. First, occasional fighting by sub-clans could break out into widespread violence, and Egal's death means that his role in neutralizing sub-clan rivalries within Somaliland is gone. Issaq who support reunification with Somalia will remain at odds with those who support continued independence until it is formally recognized internationally. Second, southern clans clearly are against the independence of Somaliland but are currently in no position to take back this territory. If one clan ever achieves complete control over the South, or if a stable peace deal is reached amongst the main clans, its leaders may turn their attention to regaining the North."
56006,"The Zulus face only a very limited risk of future rebellion. The group has a history of protest to seek greater autonomy. South Africa's stable and democratic regime has, however, taken steps to reduce repression against the Zulus and to accommodate the concerns of the group. Factors that could encourage protest are a history of protest and high levels of crime and poverty in the KwaZulu-Natal province. Nonetheless, if the South African government continues to be representative and accommodating it is likely the Zulus will seek redress within the system, rather than opposing it."
62501,"A final peace agreement was signed between the government of Sudan and the SPLM/A in 2005. As part of the agreement, John Garang was named a vice-president of Sudan, SPLM/A forces became part of Sudan's national forces with security responsibilities in Southern Sudan, revenues will be divided equally between the central government and Southern Sudan, and Southern Sudan is guaranteed widespread autonomy with the right to vote for secession after a six-year interim period. The peace agreement survived the death of Garang in a plane crash in 2005. If the peace accords continue to be implemented, the Southern Sudanese are unlikely to rebel, despite the continued presence of risk factors such as territorial concentration and group cohesion. However, the likelihood of rebellion given the failure of the government of Sudan to fully implement or respect the terms of the accord is quite high."
47102,"The condition of Westerners in Cameroon is unclear as the major Anglophone demand is to return to the 1972 federal political structure, thereby obtaining substantial autonomy from the dominant Francophone political culture. In the meantime, Francophones fear that all Anglophones are seeking eventual independence. As a result of the increased oppositional mobilization, Biya has endorsed the concept of decentralization, but has not yet considered a return to a federal structure. However, Biya has conceded the autonomy of Anglophone education and a potential signal for the future may lie in Biya's appointment of an Anglophone as prime minister. Although the Prime Minister is Anglophone, his appointment has done little to address the political discrimination Westerners face in Cameroon. If militants in the opposition can be restrained by continuing political concessions, the likelihood of violent rebellion is probably small despite the fact that Westerners face several risk factors such as recent repression, consistent past protest and discrimination. However, if the conventional SDF and its leader Fru Ndi continue to face repression, this will cause extreme tensions between the Anglophones, who are trying to achieve reform through the system, and the ruling Francophones. In short, Anglophones are continuing to protest until much of their demands are met; Biyas counter-actions will prove whether nonviolent means (combined with threats of secession and rebellion) will be continued in expressing Anglophone grievances, or if more militant means will eventually be sought."
48302,"Southerners in Chad exhibit several characteristics that make likely armed rebellion. First and foremost is the recent history of widespread violence in the mid- to late 1990s and of continued sporadic attacks through late 2001. Connected to this is the large number of militant Southern organizations. However, since 2002, opposition became more politically oriented in place of violence. The concentration of Southerners in one region is another factor facilitating rebellion. Continued human rights violations and restrictions on peaceful protest may also encourage violent responses. The 2001 elections leading to the arrest and torture of the Southerner candidate, Yorongar, and the 2003 naming of the first non-southern Christian to the post of Prime Minister in 25 years further alienated Southerners from the government, thus increasing their risk for future rebellion. Finally, rebellion in the North of the country serves to weaken the central government, providing an opening for Southern rebel groups. However, there are also many factors inhibiting rebellion in the South. While violence is perhaps likely, the Southern lack of coordination and organization makes unlikely the resumption of large-scale military attacks. In fact, deaths from military attacks have consistently dropped since 1998. The change in attitude of CMAP, with its expressing a preference for negotiation in 2001, and Deby's willingness to negotiate, also point to a turn to conventional political activity. The presence of a Southerner candidate in the 2001 elections further illustrates a tendency toward more conventional tactics. Continued opening of the political system also should create incentives for peaceful protest and conventional politics. Another development militating against a resurgence of armed resistance is the governments reaching a peace accord with Northern rebels in spring 2002. The cessation of fighting in the North makes available resources to curb any violence that should appear in the South. Political protest has been historically low in southern Chad, although it reached a peak in the 1980s. Recently, protest has been restricted to verbal protest. However, continued significant political and cultural restrictions combined with governments partial democratization may lead to increased protest in the future. Furthermore, the continuing development of the Chad-Cameroon pipeline and oil exploration in Southern Chad may fuel increased protest if the government does not propose a more favorable distribution of oil revenues."
49005,"At present, the Lunda/Yeke of the DRC's Katanga, or Shaba, region have been negatively affected by the ongoing violence. However, the region exists west of the worst conflict, so the Lunda may be removed from the worst effects of the violence. However, it is difficult to predict the future of the Lunda given the volatile nature of war. For example, what would occur if Angolan troops (largely their patrons) pulled out, or what the lingering consequences of Lunda-Luba hostilities of the early 1990s would mean for a post-war DRC? Recently, the 2006 elections outcome threatened to reignite tensions between the Luba and the Lunda. The last major rupture in relations between these two groups in 1992-1993 led to the death of about 10,000 Luba and the displacement of thousands more. Thus, government repression and a new fledgling democracy following the 2006 elections may further place the group at risk for protest and violence. Although Lunda secessionist demands have been dormant, this is no guarantee that Katangans have forgotten their push for full independence. As such, the Lunda and Yeke must still be considered at risk for rebellion within the DRC due to 1.) territorial concentration, 2.) regime instability and 3.) recent government repression.   Furthermore, resentment over resources may also put the Lunda at risk. The Lunda and Luba inhabit a resource rich locale, and yet sources indicate that the Luba have more access to education and to the exploitation of those resources than their Lunda counterparts."
52201,"Afars in Djibouti have several risk factors for rebellion, including a recent history of rebellion, territorial concentration and government instability. However, sustained efforts at negotiation and reform and transnational support for such efforts mitigate the risks that Afars will return to violence in a sustained manner. The condition of Afars in Djibouti is certainly better at present than a decade ago. However, despite some political reforms, ethnic Issa presently dominate executive decision-making, the civil service, and the ruling party, a situation that has bred resentment and political competition between the Somali Issas and the Afars. Because a certain number of Afar still wish to reunite with their brethren in the region, there is a level of uncertainty concerning the Afar. The signing in May 2001 of an agreement between the Djibouti government and the Afar organization FRUD regarding decentralisation and efforts to ease Afar insurgency in northern and south-western Djibouti temporarily eased tensions. However, the government has not, as of 2006, honored pledges for democratic decentralization, although a number of ethnic Afars serve in the national assembly and on the cabinet. Afars are more likely to engage in protest than armed rebellion in the near future, as the partial democratization of Djibouti has opened up political space and grievances regarding full implementation of the 2001 peace accords have not yet been addressed."
53005,"Somalis in Ethiopia exhibit four factors that encourage rebellion: current rebellion, territorial concentration, high levels of group organization and government repression. As long as anarchy and cross-border insurgencies continue from southern Somalia, it is likely that Somalis in Ethiopia will remain a minority at risk. It is still typical for regional authorities to arrest and detain persons without charge or trial for activities allegedly in support of armed opposition groups and the military campaign against the ONLF persists. Somalis' history of opposition to the Ethiopian state, their social and religious dissimilarity to Tigreans, demographic and economic stress, and the novelty of Ethiopias democratic transition make it difficult to predict a peaceful and stable future for Somalis in Ethiopia. However, the voluntary return of several thousands of Somalis to Somaliland, continuing well into 2004, might ease some of the tensions that refugees endure while living in Ethiopia."
75015,"The Assamese have four of the factors that increase the likelihood of continuing rebellion: current rebellion; territorial concentration; generally high levels of group organization; and repression by state authorities. Factors that could inhibit rebellion include India's stable history of democratic rule, Indian-Bhutanese cooperation to limit cross-border sanctuary for ULFA members, and India's tradition of attempting to reach settlements with groups seeking autonomy or independence."
75009,"The Nagas in India have four of the factors that increase the likelihood of continuing rebellion: current rebellion; territorial concentration; repression by the government; and lost autonomy due to their inclusion in the Indian union in 1947. Factors that could possibly inhibit future militant actions include the Naga populace's desire for an end to violence and the government's promotion of economic development. In addition, India has a tradition of negotiating agreements that provide various separatist groups with some degree of autonomy. In 2000 India was also able to convince Burma to start closing down NSCN bases, further constraining rebel activities.  The most violent conflict currently involving Nagas is the internecine rivalry between the Isak-Muivah and Khaplang factions of the National Socialist Council of Nagaland. A third faction, the NSCN-Unification, was formed in 2007 in an attempt to unify the divided Naga insurgents. However, such efforts were rejected by the NSCN-IM. As such, continuing violence between the Naga rivals is likely to continue."
85006,"Aceh province was hard-struck by the tsunami that hit the region in December 2004 and which killed an estimated 160,000 in the province alone. While conflict continued in the aftermath of the tsunami, in August 2005 a Memorandum of Understanding was signed between the government of Indonesia and the Free Aceh Movement (GAM). THE MoU also established the Aceh Monitoring Mission with contributions from the EU and ASEAN. In 2006, GAM disbanded its military wing and formally renounced the use of violence. Concurrently, in August 2006, the Indonesian parliament passed the Law on Governing Aceh (LoGA) in accordance with the autonomy stipulations of the MoU. Provincial elections in December of 2006 permitted local parties to participate and saw the election of a former GAM commander, Irwandi Yusuf, as governor. He was formally installed in February 2007. It remains to be seen if Jakarta will realize its promise of granting full autonomy to Aceh. Economic issues, as well as the presense of Indonesian security personnel in Aceh, are divisive factors of the LoGA that question Jakarta's commitment to Acehnese autonomy. Although the Acehnese possess some factors that encourage rebellion, it is unlikely that rebellion will ensue. The MoU and seminal LoGA legislation is promising for Aceh's autonomy, and its citizens are weary of the violence that wracked the region for almost 30 years. Furthermore, the democratic local elections in December 2006 were a success, and Acehnese parties are now preparing to participate in the national elections in 2009. Even still, unresolved economic issues and Acehnese desire for accountability of past human rights abuses, especially amidst a new democratic climate in the province, make protest a likely tool for Acehnese demands."
64504,"Until the first few months of 2003, the situation of the Kurds in Iraq remained basically unchanged: despite Iraqi government unfriendliness toward the Kurds, their internationally supported autonomous region in the north was largely free of any interference from Saddam Hussein's regime. While the current power-sharing model incorporating Shi'a, Sunnis and Kurds may ultimately lead to a more stable and democratic Iraq if the groups learn to compromise with one another, the future of Iraq is extremely hard to predict right now. Security concerns are real for much of the population, Sunni and Shi'a alike ' indeed, perhaps the Kurds are safest in their northern region where they have been autonomous since the early 1990s. Law and order has broken down and U.S. and Iraqi forces are struggling to quell an insurgency. Most of the violent insurgency is comprised of Sunnis, and the Kurdish military has fought side by side with American forces in ousting Saddam Hussein as well as in suppressing the ensuing rebellion. All Iraqi Kurdish factions supported Hussein's overthrow."
32503,"There is very little chance that the Sardinians will resort to sustained militant political strategies in the near future, as they have only two of the risk factors for rebellion: territorial concentration and a history of lost autonomy. Additionally, the democratic nature of the Italian state and the lack of serious armed conflicts in neighboring countries further reduces the likelihood of rebellion. The occasional references to kidnappings on Sardinia seem to be economically motivated and do not reflect political or ideological demands.  The Sardinians also lack the risk factors usually associated with the potential for protest. They do not face political or cultural restrictions, or government repression. They also do not have any external kindred support. Nonetheless there is still the potential for future protest, due to their distinct history and their concerns for the protection of the Sard language. Additionally, protest activity has occurred, although sporadically, in recent years."
43201,"While the Tuareg are territorially concentrated, a risk factor for rebellion, they exhibit only low levels of political organization and moderate levels of group cohesion with no instances of recent governmental repression, which has significantly lessened post-1990s rebellion. Furthermore, the government has moved to lessen some grievances and the democratic transition has provided more openings for conventional and nonviolent political activity, further lessening incentives for rebellion. Despite a lack of risk factors for rebellion, recent skirmishes with government forces and the government's inability to adequately address the underdevelopment and poverty grievances of the group continue to place the Tuareg at risk for future rebellion., Chances of Tuareg protest are moderate. The partial nature of Mali's democratic transition would encourage protest, as would the Tuaregs' marginalized position politically, economically and culturally. However, probably due to a lack of group organization, protest has not occurred in recent years. Tuareg continue to be at risk for social and economic problems. Tensions with sedentary peoples remain. With the continuation of droughts in the north of Mali, their nomadic existence remains precarious. The Malian economy is growing and multiparty democracy has successfully been implemented within the state, yet the place of the Tuareg in Malian society promises to be difficult to establish. The Tuareg face difficulties over whether to maintain their nomadic lifestyle or to become more integrated into the social fabric of modern life in Mali."
77502,"The Chin, who also refer to themselves as Zomi, have four of the five factors that increase the chances of future rebellion: current rebellion, territorial concentration, high levels of group cohesion, and recent government repression. Although it is likely that there will continue to be low-level resistance, the military junta's success in reaching ceasefire agreements with 15 ethnic groups by the mid-1990s coupled with its suppression of the remaining rebel groups does not bode well for the future status of the Chin."
77505,"The Mon have three of the five factors that increase the chances of future rebellion: territorial concentration; recent repression by state authorities; and a generally high level of group organization. Since the late 1980s, more than 15 ethnic groups, including the Mon, have reached ceasefire deals with the military junta. These agreements generally provide for some local control and promises of economic development, though the junta discontinued provision of economic aid to the New Mon State Party (NMSP) in September 2005. Whether these provisions are resumed and increased will also likely influence the prospects of future rebellion."
9302,"Indigenous in Nicaragua have several risk factors for rebellion, in particular the indigenous Miskitos. They are territorially concentrated, have relatively high levels of group cohesion. However, several factors are also present that inhibit rebellion, including the democratic nature of the Nicaraguan government, efforts at negotiation and reform, and the lack of serious armed conflict in neighboring countries. The status of the Miskito and other indigenous peoples of Nicaragua improved following the 1989 repatriation of refugees in Nicaragua ' guerrilla activity virtually ceased.  The likelihood of protest is much higher than that of rebellion. Miskito still struggle to implement autonomy plans that have not been fully supported by the central government. Moreover, unemployment in the Mosquito region is over 50 percent, though this statistic is complicated by the fact that many indigenous communities are involved in subsistent farming, fishing, and mining on the Atlantic Coast. YATAMA members are very politically active  reaction to perceived government discrimination has included non-violent takeovers of government offices and airport.  No physical violence as been reported since 2004, but death threats against human rights workers advocating on behalf of the indigenous surfaced in 2006. Unless the Nicaraguan government makes a serious effort to address their concerns, sporadic protests seem likely. This is especially true for autonomy issues, around which mobilization is highly likely to continue."
47504,"The Ogoni have three of the risk factors associated with rebellion: a history of protest, territorial concentration and government repression. Nonetheless, they do not have a history of rebellion. Given that the group is very small and that the current government has taken some initiative, though delayed and limited in scope, to address their concerns, it is unlikely that militant activity will occur in the near future. The group does however have a long history of protest against the Nigerian government and the Shell Oil company. Factors encouraging protest include: a history of repression by the central government, environmental degradation due to natural resource extraction and exploitation, and economic marginalization."
77002,"Although Baluchis are fragmented politically, as well as by tribal and clan identities, they have several other factors placing them at risk for future rebellion: a history of political and economic discrimination as well as recent rebellious activity carried out by the Balochistan Liberation Army (BLA). The transition from the Musharraf government in 2008 to a new government may change government relations with the Baluchis, but the instability of a democracy in transition may further put the group at risk. Furthermore, the continuation of violent conflict in Afghanistan adds to instability in Baluchistan and ensures a ready supply of cheap weaponry. Increasing Pashtun nationalism (which is responding to many of the same stimuli as Baluch nationalism) may also lead to tension between the Baluch and Pashtun residents of Baluchistan."
77005,"The Pashtun exhibit several of the risk factors for rebellion. They are territorially concentrated, and Pakistan's government has been unstable, as particularly demonstrated by the 1999 Musharraf coup. While the Pashtun have a strong identity, they are also highly factionalized, making concerted political action difficult. However, various Pashtun-based militias  most notably in recent years, the Taliban  have engaged in large-scale violent rebellion in recent years. Furthermore, conflict in Afghanistan continues to destabilize the border regions where Pashtuns are concentrated. The decades-long Pakistani involvement in the Afghan conflict has led to a culture of drugs and violence. With a new configuration in Afghanistan and Central Asia, and with newly developed road and rail links in the region, the possibility of a revival of the Greater Pakhtoonistan separatist movement cannot be ruled out.  Pashtun parties did join with other parties -- nationalist, secular and Islamic -- in demanding a return to democratic rule after the 1999 Musharraf coup. While a newly elected government is now in power, it has proven weak in the face of multiple internal challenges and has not demonstrated control over the security forces. If the Zardari coalition government  which includes the secular, Pashtun Awami party  is able to fulfill pledges of increased self-government and economic development for ethnic regions, Pashtun incentives for rebellion and protest will lessen. However, to be successful, such initiatives will have to be accompanied by improvements in physical security in Pashtun regions and de-legitimization of the Taliban and other militant organizations."
84003,"The Moros have five of the factors that increase the chances of future rebellion: persistent protest; current insurgency; territorial concentration; regime instability in the past five years; and recent government repression. Factors that could inhibit future rebellion include the Philippines' recent transition to democracy and transnational efforts by Libya and the Organization of the Islamic Conference not only to facilitate a settlement with the MILF but also to help ensure the full implementation of the 1996 agreement reached with the MNLF. More than 65,000 people have died since the violent conflict began in the early 1970s. MILF persistently filed official verbal protests against the Philippine military, while thousands of Muslims in the southern Philippines protested against religious discrimination and the Arroyo Administration more generally in both 2004 and 2005."
